State,AQI,Country
Andhra Pradesh,131,India
Arunachal Pradesh,38,India
Assam,119,India
Bihar,132,India
Chandigarh,92,India
Chhattisgarh,121,India
Dadra And Nagar Haveli,173,India
Dadra And Nagar Haveli And Daman And Diu,107,India
Daman And Diu,95,India
Delhi,389,India
Goa,85,India
Gujarat,98,India
Haryana,360,India
Himachal Pradesh,62,India
Jammu And Kashmir,111,India
Jharkhand,181,India
Karnataka,77,India
Kerala,89,India
Madhya Pradesh,152,India
Maharashtra,162,India
Manipur,22,India
Meghalaya,20,India
Mizoram,35,India
Nagaland,10,India
Odisha,140,India
Puducherry,95,India
Punjab,231,India
Rajasthan,200,India
Sikkim,12,India
Tamil Nadu,127,India
Telangana,92,India
Tripura,54,India
Uttar Pradesh,303,India
Uttarakhand,57,India
West Bengal,221,India