City,AQI,Country
Alabama,46,USA
Alaska,44,USA
Arizona,65,USA
Arkansas,81,USA
California,50,USA
Colorado,34,USA
Connecticut,36,USA
Delaware,34,USA
District of Columbia,23,USA
Florida,38,USA
Georgia,52,USA
Hawaii,25,USA
Idaho,54,USA
Illinois,36,USA
Indiana,30,USA
Iowa,46,USA
Kansas,64,USA
Kentucky,40,USA
Louisiana,39,USA
Maine,33,USA
Maryland,32,USA
Massachusetts,35,USA
Michigan,23,USA
Minnesota,26,USA
Mississippi,44,USA
Missouri,69,USA
Montana,38,USA
Nebraska,57,USA
Nevada,58,USA
New Hampshire,29,USA
New Jersey,39,USA
New Mexico,43,USA
New York,34,USA
North Carolina,46,USA
North Dakota,18,USA
Ohio,27,USA
Oklahoma,44,USA
Oregon,63,USA
Pennsylvania,29,USA
Rhode Island,49,USA
South Carolina,54,USA
South Dakota,41,USA
Tennessee,54,USA
Texas,43,USA
Utah,31,USA
Vermont,32,USA
Virginia,30,USA
Washington,58,USA
West Virginia,34,USA
Wisconsin,20,USA
Wyoming,30,USA